# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+06:04:23 |   9   1   1   1  13 100   0   0   0 | [-2034, 62, 1126]
T+06:05:24 |   9   1   1   1  26 100   0   0   0 | [-2008, 62, 1100]
T+06:06:23 |   9   1   1   1  34 100   0   0   0 | [-1988, 62, 1150]
T+06:07:23 |   9   1   1   1   6 100   0   0   0 | [-2016, 62, 1061]
T+06:08:24 |   9   1   1   1   8 100   0   0   0 | [-2069, 67, 840]
T+06:09:23 |   9   1   1   1  21 100   0   0   0 | [-1991, 61, 815]
T+06:10:23 |   9  61  23  16  30 100   0   0   0 | [-1955, 61, 815]
T+06:11:24 |   9  69  31  17  38 100   0   0   0 | [-1949, 62, 1131]
T+06:12:23 |   9  69  33  17   4 100   0   0   0 | [-1981, 62, 1329]
T+06:13:23 |   9  69  19  17  13 100   0   0   0 | [-1924, 64, 1230]
T+06:14:24 |   9  69  34  17  27 100   0   0   0 | [-1906, 61, 1203]
T+06:15:28 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:16:44 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:17:28 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:18:29 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:19:31 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:20:59 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:21:56 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:22:48 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:23:41 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:24:32 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
